Time,gyr1,gyr2,gyr3,accx,accy,accz
08.319862,-0.05396353453397751,-0.27406951785087585,0.020762545987963676,0.10813087970018387,-0.08901235461235046,0.9789302349090576
08.335987,-0.05396353453397751,-0.2658228278160095,0.05038950964808464,0.086553193628788,-0.09070093929767609,0.9762495756149292
08.381608,-0.05762872099876404,-0.2713206112384796,0.022289708256721497,0.10061505436897278,-0.055964406579732895,0.9462748765945435
08.433278,-0.10619250684976578,-0.23314154148101807,0.046113453805446625,0.10425174236297607,-0.0989026129245758,0.9852663278579712
08.476706,-0.09019261598587036,-0.17069312930107117,0.06943178176879883,0.029093509539961815,-0.12326643615961075,0.9886780977249146
08.512064,-0.03635796159505844,-0.27449989318847656,0.028198372572660446,0.01575898379087448,-0.10034997016191483,0.9623588919639587
08.555737,-0.030554741621017456,-0.3936186134815216,-0.01425675954669714,0.0858258530497551,-0.054517049342393875,0.968207597732544
08.590979,-0.08553261309862137,-0.36063188314437866,0.04408086836338043,0.09358412027359009,-0.12157785147428513,0.9930647015571594
08.634521,-0.05407305806875229,-0.30107253789901733,0.0007094382308423519,0.0824316069483757,-0.08249925822019577,0.9813672304153442
08.670033,-0.05254589021205902,-0.24640008807182312,0.02086799219250679,0.0778251364827156,-0.09070093929767609,0.9896529316902161
08.713557,-0.058349110186100006,-0.2222709208726883,0.017202800139784813,0.05624745413661003,-0.0981789380311966,0.9706445932388306
08.749009,-0.033323973417282104,-0.24947379529476166,0.017804307863116264,-0.017772166058421135,-0.0771922841668129,0.9718630313873291
08.792540,-0.07150305062532425,-0.40493902564048767,-0.02495625801384449,0.07564312219619751,-0.1054157167673111,0.9896529316902161
08.827930,-0.0788334384560585,-0.4089096486568451,-0.00876832939684391,0.0834013968706131,-0.10396835952997208,0.9908714294433594
08.871391,-0.07150305062532425,-0.34965571761131287,0.020247768610715866,0.06279349327087402,-0.128090962767601,0.9811235070228577
08.906773,-0.033629409968853,-0.34568509459495544,-0.02801058627665043,0.09115966409444809,-0.09045971184968948,0.9813672304153442
08.950277,-0.040348924696445465,-0.2919289469718933,0.01597171276807785,0.029820848256349564,-0.1056569442152977,0.9820983409881592
08.985712,-0.05012276768684387,-0.33530038595199585,0.009252195246517658,0.0843711793422699,-0.112411268055439,0.9920898675918579
